"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"54"	6.14204046297593e-215	1.30345565948589	0.354	0.037	9.50112239217746e-211	"1"	"Tnip3"
"55"	1.92267964845121e-211	0.856596762667467	0.264	0.015	2.97419314818917e-207	"1"	"Mcemp1"
"56"	1.94300889888666e-199	1.01980771015683	0.929	0.395	3.00564046568778e-195	"1"	"Tyrobp"
"57"	1.61244292047721e-185	1.43839657141143	0.729	0.251	2.4942879536862e-181	"1"	"Cd14"
"58"	4.23132791307244e-167	1.00129060303467	0.952	0.667	6.54544114873176e-163	"1"	"H2-Eb1"
"59"	4.26721035445253e-166	1.38260875087854	0.584	0.165	6.60094769730262e-162	"1"	"Ccl6"
"60"	7.97084412190075e-166	1.31153085100676	0.544	0.141	1.23300987721683e-161	"1"	"Ccl9"
"61"	4.03138207076318e-163	1.04355369385295	0.6	0.173	6.23614492526356e-159	"1"	"Csf2rb"
"62"	4.39903612065862e-149	1.36903396289271	0.507	0.134	6.80486897504682e-145	"1"	"Il1rn"
"63"	6.7541479426514e-148	0.879001315440165	0.975	0.656	1.04479914524875e-143	"1"	"H2-Aa"
"64"	2.67410032292396e-146	0.817165853726683	0.987	0.751	4.13656578953108e-142	"1"	"Cd74"
"65"	1.23672606135003e-145	0.797952090729152	0.935	0.69	1.91309154430236e-141	"1"	"Cst3"
"66"	5.77526006801318e-145	1.02150017208967	0.572	0.18	8.93374979920958e-141	"1"	"Marcks"
"67"	1.86854773354195e-142	0.884762772904429	0.972	0.708	2.89045648901604e-138	"1"	"H2-Ab1"
"68"	1.27711977013091e-141	0.789047054835571	0.91	0.398	1.97557657241551e-137	"1"	"Fcer1g"
"69"	5.19140185529612e-141	0.98054192872988	0.882	0.456	8.03057952995756e-137	"1"	"Psap"
"70"	1.68603224599706e-140	0.942264806827467	0.826	0.457	2.60812328133285e-136	"1"	"Atox1"
"71"	2.10221230410107e-139	0.745003353053791	0.997	0.968	3.25191221321394e-135	"1"	"Tmsb4x"
"72"	2.81613945432777e-139	0.805294688382459	0.892	0.435	4.35628612189963e-135	"1"	"Lgals3"
