"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	2.7118758750334	0.878	0.061	0	"0"	"Ebf1"
"2"	0	2.53751479032285	0.858	0.156	0	"0"	"Cd79a"
"3"	0	2.24285278790779	0.826	0.165	0	"0"	"H2-DMb2"
"4"	0	2.17921784512604	0.634	0.141	0	"0"	"Cd79b"
"5"	0	1.77405775399666	0.406	0.012	0	"0"	"Fcmr"
"6"	5.18108478625319e-299	1.56754680910737	0.376	0.032	8.01462005585506e-295	"0"	"Fcrla"
"7"	2.73404661137883e-289	1.57967573215169	0.664	0.226	4.22929670314191e-285	"0"	"Cd37"
"8"	2.89123158227538e-279	1.60862381625792	0.585	0.142	4.47244613462179e-275	"0"	"Ly6d"
"9"	1.62239681592785e-245	1.57331391034463	0.454	0.094	2.5096856345588e-241	"0"	"H2-Ob"
"10"	2.64657951546773e-133	1.410491288199	0.441	0.174	4.09399385247702e-129	"0"	"Mef2c"
"11"	1.26111606371469e-303	2.09239078126589	0.738	0.173	1.95082043896026e-299	"1"	"Il1b"
"12"	9.91121081411484e-241	1.30457377344071	0.626	0.137	1.53316520083542e-236	"1"	"Alox5ap"
"13"	3.39237639820451e-227	1.27410176483004	0.269	0.013	5.24766705038255e-223	"1"	"Cd209a"
"14"	6.14204046297593e-215	1.30345565948589	0.354	0.037	9.50112239217746e-211	"1"	"Tnip3"
"15"	1.61244292047721e-185	1.43839657141143	0.729	0.251	2.4942879536862e-181	"1"	"Cd14"
"16"	4.26721035445253e-166	1.38260875087854	0.584	0.165	6.60094769730262e-162	"1"	"Ccl6"
"17"	7.97084412190075e-166	1.31153085100676	0.544	0.141	1.23300987721683e-161	"1"	"Ccl9"
"18"	4.39903612065862e-149	1.36903396289271	0.507	0.134	6.80486897504682e-145	"1"	"Il1rn"
"19"	3.1560169460869e-116	1.17518679315492	0.38	0.095	4.88204261390182e-112	"1"	"Bcl2a1a"
"20"	2.05948214837169e-109	1.23144641022531	0.482	0.155	3.18581293531617e-105	"1"	"Il1r2"
"21"	0	2.22372077666336	1	0.589	0	"2"	"Apoe"
"22"	0	2.01479587042759	0.572	0.033	0	"2"	"Pgf"
"23"	0	1.85850720750851	0.921	0.148	0	"2"	"Ms4a7"
"24"	0	1.79216103249704	0.997	0.277	0	"2"	"C1qa"
"25"	0	1.78658478632658	1	0.287	0	"2"	"C1qb"
"26"	0	1.70942572428163	0.986	0.24	0	"2"	"C1qc"
"27"	0	1.69622463667403	0.731	0.142	0	"2"	"Acp5"
"28"	0	1.60853182020661	0.564	0.046	0	"2"	"Dnase1l3"
"29"	0	1.58925831070667	0.959	0.256	0	"2"	"Cxcl16"
"30"	4.59477199237321e-307	1.57131783355846	0.993	0.415	7.10765279500212e-303	"2"	"Lyz2"
"31"	0	2.41742327374719	0.75	0.037	0	"3"	"Trbc2"
"32"	0	2.1530109672905	0.813	0.16	0	"3"	"Emb"
"33"	0	1.99957088003039	0.403	0.015	0	"3"	"Nkg7"
"34"	0	1.99644923529614	0.445	0.031	0	"3"	"Trbc1"
"35"	0	1.98374255414305	0.545	0.014	0	"3"	"Cd3g"
"36"	0	1.97642388346049	0.458	0.024	0	"3"	"Icos"
"37"	0	1.95488458776985	0.527	0.008	0	"3"	"Cd3d"
"38"	0	1.78347554464565	0.364	0.013	0	"3"	"Ikzf2"
"39"	1.19741412904218e-235	3.38553077907175	0.381	0.04	1.85227991621535e-231	"3"	"Ccl5"
"40"	3.69504529075986e-199	2.01841603139788	0.593	0.16	5.71586556027643e-195	"3"	"Ramp3"
"41"	0	2.72432864063039	0.971	0.206	0	"4"	"Pf4"
"42"	0	2.51829641011575	0.57	0.05	0	"4"	"Ccl7"
"43"	0	2.02541313253502	0.893	0.238	0	"4"	"Selenop"
"44"	0	1.93105764569125	0.576	0.04	0	"4"	"Folr2"
"45"	3.14464884086644e-301	1.92911589957448	0.468	0.044	4.8644572919363e-297	"4"	"Ccl2"
"46"	2.24837585376842e-274	1.78522821130809	0.73	0.178	3.47801260819437e-270	"4"	"Hmox1"
"47"	2.96106112189964e-229	1.7852005829273	0.768	0.237	4.58046544946655e-225	"4"	"Hspa1a"
"48"	1.26703216582381e-219	1.67772381580008	0.497	0.084	1.95997205731285e-215	"4"	"Gdf15"
"49"	1.11557871465794e-214	2.03885601190502	0.376	0.041	1.72568871370437e-210	"4"	"Ccl8"
"50"	3.44204357094173e-83	1.9419533752581	0.278	0.063	5.32449719988977e-79	"4"	"Ccl4"
"51"	0	4.44240540907367	1	0.347	0	"5"	"Jchain"
"52"	0	4.36804826105685	1	0.666	0	"5"	"Igha"
"53"	0	4.12851754214801	1	0.972	0	"5"	"Igkc"
"54"	0	3.47257801700933	0.862	0.146	0	"5"	"Iglc3"
"55"	0	2.82227666403253	0.839	0.039	0	"5"	"Ly6c2"
"56"	0	2.28362750070952	0.725	0.022	0	"5"	"Slpi"
"57"	0	2.19856705698443	0.973	0.136	0	"5"	"Mzb1"
"58"	0	2.15953357782576	0.955	0.169	0	"5"	"Iglc2"
"59"	0	1.96766155343525	0.935	0.062	0	"5"	"Txndc5"
"60"	4.79912264939839e-176	3.6659924048179	0.893	0.355	7.42376282635437e-172	"5"	"Iglc1"
"61"	0	4.23084923970287	0.897	0.035	0	"6"	"Dcn"
